Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels,Acceptance Criteria,Internal ID
Epic,Multi-currency expense submission & display,"Let employees submit expenses in their local currency with automatic conversion to the company reporting currency, reusing the existing FX rate integration already used by Finance Reporting, so international teams stop hand-converting receipts.",Multi-currency expense submission & display,,High,,,,EPIC-1
Task,"Extend expense data model & API to store original currency, amount, and FX rate used","Add currency, original_amount, and fx_rate_used fields to the expense record and API so conversions don't drift if rates change later.",,Multi-currency expense submission & display,High,5,backend;expenses,"Expense schema stores currency code, original amount, and the FX rate used at submission time | API accepts and returns the new fields | Existing single-currency (USD-only) expenses continue to work unchanged",EPIC-1-1
Task,Integrate with existing Finance Reporting FX rate service client,Reuse the FX rate client already integrated for Finance Reporting rather than standing up a second integration; coordinate with Finance Reporting service owners on shared usage.,,Multi-currency expense submission & display,High,5,backend;finance-reporting;integration,"Daily FX rate is fetched via the existing shared client, not a new integration | Rate lookups are cached per day to avoid redundant calls | Finance Reporting service owners have signed off on the shared usage pattern",EPIC-1-2
Task,Add async conversion fallback for when the FX provider is unavailable,"If the FX provider is down at submission time, allow submission to proceed and backfill the converted amount asynchronously once the rate service recovers.",,Multi-currency expense submission & display,High,5,backend;expenses,Submission succeeds even when the FX provider call fails | A background job backfills the converted amount once the rate service is available again | Expense record clearly reflects 'conversion pending' state until backfilled,EPIC-1-3
Story,Add currency selector and local-currency amount entry to web submission form,Employee can choose a currency (defaulting to their home-office currency) and enter the amount in that currency on the web app.,,Multi-currency expense submission & display,High,3,frontend;web,Currency selector defaults to the employee's home-office currency | Amount is submitted and stored in the selected currency | Form validates amount > 0 for any supported currency,EPIC-1-4
Story,Add currency selector and local-currency amount entry to mobile submission form,"Same local-currency submission capability as the web form, on iOS/Android.",,Multi-currency expense submission & display,High,3,mobile,Currency selector defaults to the employee's home-office currency | Amount is submitted and stored in the selected currency | Behavior matches the web form for parity,EPIC-1-5
Story,Show original and converted amount on web expense list/detail views,Approvers and employees see both the originally submitted amount/currency and the converted reporting-currency amount.,,Multi-currency expense submission & display,High,2,frontend;web,Expense list shows original currency amount with converted amount alongside it | Expense detail view shows the FX rate used and submission date | Pending-conversion state is visually distinct,EPIC-1-6
Story,Show original and converted amount on mobile expense list/detail views,Mobile parity with the web list/detail view changes.,,Multi-currency expense submission & display,High,2,mobile,Expense list shows original currency amount with converted amount alongside it | Expense detail view shows the FX rate used and submission date,EPIC-1-7
Task,Allow approvers to approve on original amount before conversion is backfilled,Approvers should not be blocked from approving while the converted amount is still pending; converted amount backfills later without requiring re-approval.,,Multi-currency expense submission & display,High,3,backend;approvals,Approve action is available even when conversion is pending | Backfilled conversion does not require re-approval | Audit trail notes that approval occurred pre-conversion when applicable,EPIC-1-8
Epic,Shared approval-resolution engine & delegate setup,"Build delegate approval setup on top of a single shared 'who can approve this expense right now' resolution service, used by both the normal and delegated routing paths, so delegation logic isn't duplicated or forked from the existing router.",Shared approval-resolution engine & delegate setup,,High,,,,EPIC-2
Task,Build shared approval-resolution service for normal and delegate routing,Centralize 'who can currently approve this expense' logic into one service consumed by both the existing routing path and the new delegate path.,,Shared approval-resolution engine & delegate setup,High,8,backend;approvals;platform,Existing single-approver routing is refactored to call the new shared resolution service with no behavior change | Service exposes a resolution API that delegate routing (EPIC-2-*) can also call | Existing approval routing regression tests pass unchanged,EPIC-2-1
Story,Approver UI to designate a delegate and date range,An approver can pick a delegate and a start/end date during which the delegate can approve on their behalf.,,Shared approval-resolution engine & delegate setup,High,3,frontend;web,Approver can select any eligible delegate user | Approver sets a start and end date for the delegation | Delegation cannot be created with an end date before its start date,EPIC-2-2
Task,Store delegation records with auto-expiry at end of date range,Delegations auto-expire at the end of their date range with no manual cleanup step required.,,Shared approval-resolution engine & delegate setup,High,5,backend,"Delegation record includes delegator, delegate, start date, end date | Delegation is automatically treated as inactive after its end date with no manual step | No cleanup job leaves stale active delegations past their end date",EPIC-2-3
Story,Delegate's approval queue shows delegated-from expenses,"While a delegation is active, expenses routed to the original approver also appear in the delegate's queue, clearly marked as delegated.",,Shared approval-resolution engine & delegate setup,High,3,frontend;web,Delegate sees delegated expenses in their own queue during the active window | Each delegated item is labeled 'delegated from <name>' | Items disappear from the delegate's queue once the delegation ends,EPIC-2-4
Task,Record both delegate (actor) and original approver (authority) on approval,Every approval action taken by a delegate records who actually clicked approve and whose authority was used.,,Shared approval-resolution engine & delegate setup,High,3,backend;compliance,Approval record stores acting user and authority-holder separately when they differ | Non-delegated approvals are unaffected | Data is available for the audit log work in EPIC-3,EPIC-2-5
Epic,Delegate notifications & audit trail,"Extend the existing notification and audit systems to cover delegation lifecycle events and delegated-approval audit entries, meeting compliance requirements for who-approved-what visibility.",Delegate notifications & audit trail,,Medium,,,,EPIC-3
Task,Extend audit log schema with an optional 'acted as delegate for' field,Audit log entries need to be able to represent a delegated approval before any delegated-approval events can be written.,,Delegate notifications & audit trail,Medium,3,backend;audit;compliance,Audit log schema supports an optional delegate-authority field | Existing non-delegated audit entries are unaffected | Field is available for EPIC-3-2 to populate,EPIC-3-1
Task,Write delegated-approval audit entries using the extended schema,Every delegated approval writes an audit entry populated with both the acting delegate and the original approver of record.,,Delegate notifications & audit trail,Medium,2,backend;audit,"Delegated approvals write an audit entry with both delegate and original approver | Non-delegated approvals write audit entries as before, unaffected",EPIC-3-2
Story,Audit log view: filter/search delegated-approval entries,Delegated-approval audit entries are filterable and searchable the same way existing audit entries are today.,,Delegate notifications & audit trail,Medium,3,frontend;web;audit,Audit log UI can filter to delegated-approval entries specifically | Search behavior matches existing audit entry search | Both delegate and original approver are visible in the entry detail,EPIC-3-3
Task,Extend notification service for delegation lifecycle events,"Cover delegation started, delegation ending in 24h, delegation ended, and expense approved by a delegate, using the existing notification service.",,Delegate notifications & audit trail,Medium,5,backend;notifications,Original approver is notified when a delegation starts and ends | Original approver is notified 24h before a delegation ends | Notification is sent when an expense is approved by a delegate on their behalf,EPIC-3-4
Epic,Admin controls for rollout,"Give company admins the settings and visibility needed to roll out both features safely: per-org multi-currency enablement, reporting currency, independent feature flags, and audit visibility into active delegations.",Admin controls for rollout,,Medium,,,,EPIC-4
Story,Admin settings screen: enable/disable multi-currency and set reporting currency,Org admins can turn multi-currency on/off for their org and choose the reporting currency (default USD).,,Admin controls for rollout,Medium,3,frontend;web;admin,"Admin can toggle multi-currency on/off for their org | Admin can set the org's reporting currency, defaulting to USD | Change takes effect without requiring a deploy",EPIC-4-1
Story,Admin view: list active delegations org-wide,"A simple list view for admins to see all currently active delegations across the org, for audit purposes.",,Admin controls for rollout,Medium,2,frontend;web;admin,"Admin can view all active delegations org-wide | List shows delegator, delegate, and date range | List updates as delegations expire",EPIC-4-2
Task,Independent org-level feature flags for multi-currency and delegate approvals,Both features ship behind separate org-level flags so customers can adopt either independently.,,Admin controls for rollout,Medium,2,backend;platform,Multi-currency and delegate approvals can be toggled independently per org | Default state for both flags is off for existing orgs,EPIC-4-3
